Consumption;;;;;
521465100.00;;;;;
461465218.00;;;;;
382921070.00;;;;;
241680214.00;;;;;
120401074.00;;;;;
89354950.00;;;;;
80428831.00;;;;;
79763902.00;;;;;
91012641.00;;;;;
120895431.00;;;;;
318058294.00;;;;;
492205178.00;;;;;
551547920.00;;;;;
551886440.00;;;;;
513182950.00;;;;;
281495382.00;;;;;
138625166.00;;;;;
102002208.00;;;;;
92769403.00;;;;;
94902749.00;;;;;
104878472.00;;;;;
234224583.00;;;;;
477975400.00;;;;;
574271361.00;;;;;
738599422.00;;;;;
634334634.00;;;;;
539151598.00;;;;;
297616738.00;;;;;
197445668.00;;;;;
114977885.00;;;;;
107345413.00;;;;;
103349699.00;;;;;
115327332.00;;;;;
184214668.00;;;;;
488834066.00;;;;;
605630038.00;;;;;
601698304.00;;;;;
564911766.00;;;;;
555304460.00;;;;;
355753096.00;;;;;
150842359.00;;;;;
116906435.00;;;;;
102426780.00;;;;;
102161524.00;;;;;
112774512.00;;;;;
181389507.00;;;;;
497284507.00;;;;;
708464543.00;;;;;
824846367.00;;;;;
705064603.00;;;;;
448376357.00;;;;;
281115575.00;;;;;
174892591.00;;;;;
117594645.00;;;;;
109810891.00;;;;;
102837804.00;;;;;
117424465.00;;;;;
179355823.00;;;;;
340077648.00;;;;;
546779239.00;;;;;
639949912.00;;;;;
584272459.00;;;;;
573785273.00;;;;;
337160667.00;;;;;
149736202.00;;;;;
104935448.00;;;;;
96740196.00;;;;;
99199654.00;;;;;
105704561.00;;;;;
144589492.00;;;;;
359080257.00;;;;;
555541373.00;;;;;
732872386.00;;;;;
600982014.00;;;;;
602013921.00;;;;;
312335421.00;;;;;
153744359.00;;;;;
118368846.00;;;;;
109651749.00;;;;;
103098796.00;;;;;
108465548.00;;;;;
280005578.00;;;;;
265939397.00;;;;;
601361364.00;;;;;
798281630.00;;;;;
752811040.00;;;;;
735564427.00;;;;;
577153735.00;;;;;
251099496.00;;;;;
134033506.00;;;;;
117420334.00;;;;;
115326848.00;;;;;
122479811.00;;;;;
346093304.00;;;;;
674926613.00;;;;;
746654647.00;;;;;
982092486.00;;;;;
973307075.00;;;;;
775704724.00;;;;;
312896551.00;;;;;
174450577.00;;;;;
134955713.00;;;;;
123577758.00;;;;;
115213114.00;;;;;
134476810.00;;;;;
150404011.00;;;;;
365187039.00;;;;;
801444243.00;;;;;
874461263.00;;;;;
719191758.00;;;;;
649230040.00;;;;;
377056221.00;;;;;
177792468.00;;;;;
145907244.00;;;;;
142890312.00;;;;;
124918520.00;;;;;
151027105.00;;;;;
306262624.00;;;;;
433509642.00;;;;;
922294388.00;;;;;
775846072.00;;;;;
701236978.00;;;;;
634104456.00;;;;;
368943261.00;;;;;
230694234.00;;;;;
159613451.00;;;;;
135786984.00;;;;;
135604074.00;;;;;
161669601.00;;;;;
266326288.00;;;;;
575978223.00;;;;;
798087152.00;;;;;
992766288.00;;;;;
873079882.00;;;;;
821818829.00;;;;;
538729565.00;;;;;
210921846.00;;;;;
175088772.00;;;;;
150801367.00;;;;;
152060248.00;;;;;
153232346.00;;;;;
286509337.00;;;;;
